Template;Tag;AAA;;Tag;Mandatory;Origin;;;Type;Description
;9F1B;Terminal Floor Limit;b32;9F1B;;Terminal;4;4;primitive;Indicates the floor limit in the terminal in conjunction with the AID
;9F1C;Terminal Identification;an8;9F1C;;Terminal;8;8;primitive;Designates the unique location of a Terminal at a merchant
;9F1D;Terminal Risk Management Data;b;9F1D;;Terminal;1;8;primitive;Application-specific value used by the card for risk management purposes
;9F66;Terminal Transaction Qualifiers (TTQ);b32;9F66;;Terminal;4;4;;Indicates reader capabilities, requirements, and preferences to the card. TTQ byte 2 bits 8-7 are transient values, and reset to zero at the beginning of the transaction. All other TTQ bits are static values, and not modified based on transaction conditions. TTQ byte 3 bit 7 shall be set by the acquirer-merchant to 1b.
;9F35;Terminal Type;n2;9F35;;Terminal;1;1;constructed;Indicates the environment of the terminal, its communications capability, and its operational control
;95;Terminal Verification Results (TVR);b;95;;Terminal;5;5;;Status of the different functions as seen from the terminal
;9F6E;Third Party Data;b;9F6E;;Card;5;32;;The Third Party Data contains various information, possibly including information from a third party. If present in the Card, the Third Party Data must be returned in a file read using the READ RECORD command or in the File Control Information Template. 'Device Type' is present when the most significant bit of byte 1 of 'Unique Identifier' is set to 0b. In this case, the maximum length of 'Proprietary Data' is 26 bytes. Otherwise it is 28 bytes.
70 or 77;9F1F;Track 1 Discretionary Data;ans;9F1F;;Card;var.;var.;primitive;Discretionary part of track 1 according to ISO/IEC 7813
;56;Track 1 Equivalent Data;;56;;Card;;;;
;9F6B;Track 2 Data;b;9F6B;;Card;0;19;;Track 2 Data contains the data objects of the track 2 according to [ISO/IEC 7813], excluding start sentinel, end sentinel and LRC. The Track 2 Data is present in the file read using the READ RECORD command during a mag-stripe mode transaction.
70 or 77;9F20;Track 2 Discretionary Data;cn;9F20;;Card;var.;var.;constructed;Discretionary part of track 2 according to ISO/IEC 7813
70 or 77;57;Track 2 Equivalent Data;b...19;57;;Card;0;19;primitive;Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows: Primary Account Number, Field Separator (Hex 'D') Expiration Date (YYMM) Service Code, Discretionary Data (defined by individual payment systems), Pad with one Hex 'F' if needed to ensure whole bytes
;58;Track 3 Equivalent Data;b;58;;Card;;;primitive;
;98;Transaction Certificate (TC) Hash Value;b;98;;Terminal;20;20;primitive;Result of a hash function specified in Book 2, Annex B3.1
70 or 77;97;Transaction Certificate Data Object List (TDOL);b;97;;Card;0;252;primitive;List of data objects (tag and length) to be used by the terminal in generating the TC Hash Value
;5F2A;Transaction Currency Code;n3;5F2A;;Terminal;2;2;primitive;Indicates the currency code of the transaction according to ISO 4217.Requested in CDOL1.
;5F36;Transaction Currency Exponent;n1;5F36;;Terminal;1;1;primitive;Identifies the decimal point position from the right of the transaction amount accordin to ISO 4217
;9A;Transaction Date;AAMMJJ n6;9A;;POS;3;3;constructed;Local date that the transaction was authorised
;99;Transaction Personal Identification Number (PIN) Data;b;99;;Terminal;var.;var.;primitive;Data entered by the cardholder for the purpose of the PIN verification
;5F3C;Transaction Reference Currency Code;b2;5F3C;;Terminal;1;1;;Identifies the common currency used by the terminal
;5F3D;Transaction Reference Currency Exponent;n1;5F3D;;Terminal;1;1;;Identifies the decimal point position from the right of the terminal common currency
;9F41;Transaction Sequence Counter;n4...8;9F41;;Terminal;2;4;primitive;Counter maintained by the terminal that is incremented by one for each transaction
;9B;Transaction Status Information (TSI);b;9B;;Terminal;2;2;primitive;Indicates the functions performed in a transaction
;9F21;Transaction Time;hhmmss n6;9F21;;Terminal;3;3;constructed;Local time at which the transaction was performed.
;9C;Transaction Type;n2;9C;;POS;1;1;constructed;Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. Requested in CDOL1. Possible values are: - '00' for a purchase transaction - '01' for a cash advance transaction - '09' for a purchase with cashback - '20' for a refund transaction
;9F69;UDOL;b;9F69;;Card;var.;var.;;The UDOL is the DOL that specifies the data objects to be included in the data field of the COMPUTE CRYPTOGRAPHIC CHECKSUM command. The UDOL must at least include the Unpredictable Number (Numeric). The UDOL is not mandatory for the Card. If it is not present in the Card, then the Default UDOL is used.
;9F6A;Unpredictable Number (Numeric);n8;9F6A;;Card;4;4;;Unpredictable number generated by the Kernel during a mag-stripe mode transaction. The Unpredictable Number (Numeric) is passed to the Card in the data field of the COMPUTE CRYPTOGRAPHIC CHECKSUM command. The 8-nUN most significant digits must be set to zero.
;9F37;Unpredictable Number (UN);b32;9F37;;Terminal;4;4;constructed;Contains a Kernel challenge (random) to be used by the Card to ensure the variability and uniqueness to the generation of a cryptogram during an EMV mode transaction.
;9F75;Unprotected Data Envelope 1;b;9F75;;Card;0;192;;The Unprotected Data Envelopes contain proprietary information from the issuer, payment system or third party. Unprotected Data Envelopes can be retrieved with the GET DATA command and can be updated with the PUT DATA (CLA='80') command without secure messaging.
;9F76;Unprotected Data Envelope 2;b;9F76;;Card;0;192;;Same as Unprotected Data Envelope 1.
;9F77;Unprotected Data Envelope 3;b;9F77;;Card;0;192;;Same as Unprotected Data Envelope 1.
;9F78;Unprotected Data Envelope 4;b;9F78;;Card;0;192;;Same as Unprotected Data Envelope 1.
;9F79;Unprotected Data Envelope 5;b;9F79;;Card;0;192;;Same as Unprotected Data Envelope 1.
70 or 77;9F23;Upper Consecutive Offline Limit (UCOL);b;9F23;;Card;1;1;constructed;Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal without online capability
;9F7D;VISA Applet Data;H;9F7D;;Card;;;;
;9F79;VLP Available Funds;b;9F79;;Card;var.;var.;;A counter that is decremented by the Amount Authorized when a VLP transaction is approved.
;9F77;VLP Funds Limit;b;9F77;;Card;var.;var.;;A Visa proprietary data element, Issuer Limit for VLP available funds, is used to reset VLP Available Funds after an online approved transaction.
;9F74;VLP Issuer Authorisation Code;a6;9F74;;Card;6;6;;A Visa proprietary data element containing a code indicating that the transaction was an approved VLP transaction. If present indicates offline approval from card.
;9F6D;VLP Reset Threshold;b;9F6D;;Card;var.;var.;;
;9F78;VLP Single Transaction Limit;b;9F78;;Card;var.;var.;;A Visa proprietary data element indicating the maximum amount allowed for single VLP transaction
;9F7A;VLP Terminal Support Indicator;n1;9F7A;;Terminal;1;1;;If present indicates offline and/or online support. If absent indicates online only support
;9F7B;VLP Terminal Transaction Limit;H;9F7B;;Terminal;;;;
;DF5A;Transmission Date and Time;MMJJhhmmss n10;DF5A;;Application;;;constructed;
